state,number_of_electric_cars,number_cars,number_non_electric,number_non_electric_cars
Baden-Württemberg,320946,8502375,8181429,8181429
Bayern,363975,10701508,10337533,10337533
Berlin,58496,1497935,1439439,1439439
Brandenburg,39206,1855667,1816461,1816461
Bremen,11033,347022,335989,335989
Hamburg,47648,957483,909835,909835
Hessen,194759,4669933,4475174,4475174
Mecklenburg-Vorpommern,17821,1107639,1089818,1089818
Niedersachsen,188133,6049627,5861494,5861494
Nordrhein-Westfalen,469380,12509877,12040497,12040497
Rheinland-Pfalz,95899,3246233,3150334,3150334
Saarland,22806,781413,758607,758607
Sachsen,50544,2694863,2644319,2644319
Sachsen-Anhalt,25730,1508204,1482474,1482474
Schleswig-Holstein,66645,2136994,2070349,2070349
Thüringen,30302,1507667,1477365,1477365
